id,match_id,replay_id,player_id,player_name,map_name,map_mode,mode_name,timestamp,duration_sec,is_ranked,team_id,won,winning_team_id,team_score,enemy_score,primary_hero,secondary_hero,kills,deaths,assists,damage,healing,kd_ratio,kda_ratio,damage_per_min,healing_per_min,rank_score,rank_tier,rank_tier_short,rank_delta,last_kills,head_kills,solo_kills,damage_blocked,damage_blocked_per_min
1,5513730_1765074019_1318548_11001_12,10858083708,VP Sypeh,VP Sypeh,Celestial Husk,Domination,Competitive,2025-12-07T02:30:35+00:00,381,1,0,1,0,2,0,Invisible Woman,,10,0,17,4548.798797607422,14847.611123085022,10.0,27.0,758.13,2474.6,5308.0,One Above All,OAA,13.0,1.0,0.0,0.0,6147.800564527512,1024.63
2,6711722_1764888815_1272257_11001_22,50681325737,VP Sypeh,VP Sypeh,Birnin T'Challa,Domination,Competitive,2025-12-04T23:06:27+00:00,537,1,0,1,0,2,0,Invisible Woman,,12,1,15,11717.625453948975,26251.30473780632,12.0,27.0,1464.7,3281.41,5295.0,One Above All,OAA,13.0,3.0,0.0,2.0,11893.105869054794,1486.64
3,6711647_1764886525_1245250_11001_22,50241126491,VP Sypeh,VP Sypeh,Spider-Islands,Convoy,Competitive,2025-12-04T22:36:46+00:00,1015,1,1,1,1,3,2,Invisible Woman,,40,6,55,28189.416053175926,72180.51210141182,6.666666666666667,15.833333333333334,1761.84,4511.28,5281.0,One Above All,OAA,16.0,6.0,0.0,0.0,25389.681012034416,1586.86
4,506241_1764884213_1311009_11001_21,50560718078,VP Sypeh,VP Sypeh,Arakko,Convoy,Competitive,2025-12-04T22:04:02+00:00,1187,1,0,1,0,4,3,Gambit,,26,6,40,20598.743621587753,80722.67812848091,4.333333333333333,11.0,1084.14,4248.56,5264.0,One Above All,OAA,15.0,9.0,0.0,0.0,13422.148777484894,706.43
5,506105_1764882596_1310017_11001_21,50322526242,VP Sypeh,VP Sypeh,Krakoa,Domination,Competitive,2025-12-04T21:29:38+00:00,883,1,1,0,0,1,2,Invisible Woman,,14,6,16,20061.210062623024,49474.471841812134,2.3333333333333335,5.0,1432.94,3533.89,5248.0,One Above All,OAA,-23.0,5.0,0.0,2.0,22387.62135231495,1599.12
6,5513709_1764826259_2042189_11001_12,10647969083,VP Sypeh,VP Sypeh,Heart Of Heaven,Convergence,Competitive,2025-12-04T05:38:38+00:00,234,1,0,1,0,3,0,Gambit,,7,0,8,1840.079999923706,4033.631296157837,7.0,15.0,613.36,1344.54,5271.0,One Above All,OAA,11.0,0.0,0.0,0.0,564.8265109062195,188.28
7,5513562_1764654765_1291214_11001_12,10713163971,VP Sypeh,VP Sypeh,Midtown,Convoy,Competitive,2025-12-02T06:13:19+00:00,960,1,1,1,1,3,2,Invisible Woman,Doctor Strange,25,5,30,24140.96945142746,61715.67230629921,5.0,11.0,1508.81,3857.23,5259.0,One Above All,OAA,15.0,7.0,0.0,1.0,28238.89802289009,1764.93
8,5513669_1764653691_1231370_11001_12,10812373659,VP Sypeh,VP Sypeh,Yggdrasill Path,Convoy,Competitive,2025-12-02T05:43:24+00:00,259,1,1,1,1,0,0,Rocket Raccoon,,0,0,13,78.69430828094482,13686.062168836594,0.0,13.0,19.67,3421.52,5244.0,One Above All,OAA,13.0,0.0,0.0,0.0,187.5999984741211,46.9
9,5513547_1764535377_1311217_11001_12,10939270028,VP Sypeh,VP Sypeh,Arakko,Convoy,Competitive,2025-11-30T20:59:46+00:00,749,1,1,1,1,2,1,Gambit,,18,3,15,12565.185163974762,33742.72358369827,6.0,11.0,1047.1,2811.89,5230.0,One Above All,OAA,17.0,6.0,0.0,2.0,10730.336784362793,894.19
10,5513459_1764389811_1291129_11001_12,10213956539,VP Sypeh,VP Sypeh,Midtown,Convoy,Competitive,2025-11-29T04:31:55+00:00,639,1,0,1,0,3,0,Rocket Raccoon,Loki,15,1,40,7204.197706222534,27315.19146680832,15.0,55.0,720.42,2731.52,5213.0,One Above All,OAA,16.0,4.0,1.0,0.0,2616.360224723816,261.64
11,5513743_1764388496_1310548_11001_12,10409761719,VP Sypeh,VP Sypeh,Krakoa,Domination,Competitive,2025-11-29T04:07:27+00:00,515,1,0,1,0,2,0,Invisible Woman,,19,2,23,10006.181345939636,31891.205865859985,9.5,21.0,1250.77,3986.4,5196.0,One Above All,OAA,18.0,4.0,0.0,0.0,13921.470265388489,1740.18
12,5513958_1764387072_1290004_11001_12,10552561598,VP Sypeh,VP Sypeh,Symbiotic Surface,Convergence,Competitive,2025-11-29T03:50:28+00:00,893,1,0,1,0,3,1,Invisible Woman,,25,2,38,15441.82223635912,38266.60873627663,12.5,31.5,1102.99,2733.33,5177.0,One Above All,OAA,17.0,8.0,0.0,0.0,20570.455124139786,1469.32
13,5513656_1764385747_2042004_11001_12,10250567225,VP Sypeh,VP Sypeh,Heart Of Heaven,Convergence,Competitive,2025-11-29T03:23:58+00:00,637,1,1,1,1,1,1,Loki,,15,1,25,9954.34255695343,24417.77891778946,15.0,40.0,995.43,2441.78,5160.0,One Above All,OAA,17.0,3.0,0.0,1.0,6166.695428848267,616.67
14,5513300_1764384135_1231532_11001_12,10674183251,VP Sypeh,VP Sypeh,Yggdrasill Path,Convoy,Competitive,2025-11-29T02:59:14+00:00,757,1,1,0,0,1,3,Mantis,Adam Warlock,12,7,14,11570.28831577301,23019.66407287121,1.7142857142857142,3.7142857142857144,964.19,1918.31,5142.0,One Above All,OAA,-22.0,5.0,0.0,1.0,7519.453857660294,626.62
15,5513381_1764383145_1310400_11001_12,10301566521,VP Sypeh,VP Sypeh,Krakoa,Domination,Competitive,2025-11-29T02:37:30+00:00,469,1,1,1,1,2,0,Invisible Woman,,21,2,19,9704.427340865135,15715.476149082184,10.5,20.0,1386.35,2245.07,5164.0,One Above All,OAA,19.0,4.0,0.0,0.0,11924.674326658249,1703.52
16,5513524_1764381382_1267309_11001_12,10483169377,VP Sypeh,VP Sypeh,Hall Of Djalia,Convergence,Competitive,2025-11-29T02:22:10+00:00,1105,1,1,0,0,4,5,Invisible Woman,Rocket Raccoon,24,6,36,24575.38809221983,43451.507422447205,4.0,10.0,1365.3,2413.97,5144.0,One Above All,OAA,-22.0,4.0,0.0,0.0,26377.54592847824,1465.42
17,5513807_1764379510_1288281_11001_12,10966366348,VP Sypeh,VP Sypeh,Hell's Heaven,Domination,Competitive,2025-11-29T01:41:59+00:00,715,1,1,0,0,1,2,Invisible Woman,,18,5,17,17942.22935152054,42080.67642188072,3.6,7.0,1631.11,3825.52,5166.0,One Above All,OAA,-22.0,4.0,0.0,0.0,17592.68494808674,1599.33
18,6711550_1764378652_1272489_11001_22,50872624627,VP Sypeh,VP Sypeh,Birnin T'Challa,Domination,Competitive,2025-11-29T01:21:31+00:00,405,1,0,0,1,0,2,Gambit,,3,4,7,9922.227637767792,15757.438702106476,0.75,2.5,1653.7,2626.24,5187.0,One Above All,OAA,-26.0,0.0,0.0,0.0,6819.264575481415,1136.54
19,6711698_1764377320_1231426_11001_22,50927321836,VP Sypeh,VP Sypeh,Yggdrasill Path,Convoy,Competitive,2025-11-29T01:06:12+00:00,789,1,0,1,0,2,0,Loki,,15,0,25,12436.623627185822,47240.22624397278,15.0,40.0,956.66,3633.86,5212.0,One Above All,OAA,16.0,3.0,0.0,0.0,7568.432784318924,582.19
