match_id,team_id,hero_name,won
4859912_1764413878_2042276_11001_32,0,"Gambit, Invisible Woman, Magneto, Phoenix, Spider-Man, Thor",1
4859912_1764413878_2042276_11001_32,1,"Gambit, Invisible Woman, Magneto, Spider-Man, The Punisher, Venom",0
4859918_1764785795_1291050_11001_32,0,"Daredevil, Gambit, Luna Snow, Magneto, Venom, Winter Soldier",0
4859918_1764785795_1291050_11001_32,1,"Gambit, Iron Fist, Magneto, Phoenix, Rocket Raccoon, Venom",1
4859927_1764258769_1291106_11001_32,0,"Blade, Emma Frost, Invisible Woman, Magneto, Rocket Raccoon, The Punisher",1
4859927_1764258769_1291106_11001_32,1,"Hela, Hela, Invisible Woman, Luna Snow, Phoenix, Winter Soldier",0
4859930_1764788081_1292175_11001_32,0,"Angela, Cloak & Dagger, Iron Fist, Luna Snow, Magneto, Winter Soldier",1
4859930_1764788081_1292175_11001_32,1,"Cloak & Dagger, Emma Frost, Luna Snow, Magneto, Phoenix, Winter Soldier",0
4859940_1764432146_1310523_11001_32,0,"Daredevil, Invisible Woman, Jeff The Land Shark, Psylocke, Thor, Winter Soldier",0
4859940_1764432146_1310523_11001_32,1,"Emma Frost, Groot, Invisible Woman, Phoenix, Psylocke, Rocket Raccoon",1
4859942_1764789661_1272059_11001_32,0,"Bruce Banner, Groot, Invisible Woman, Loki, Phoenix, Psylocke",1
4859942_1764789661_1272059_11001_32,1,"Cloak & Dagger, Doctor Strange, Invisible Woman, Magneto, Phoenix, Wolverine",0
4859944_1764254427_1318074_11001_32,0,"Magneto, Phoenix, Rocket Raccoon, Spider-Man, Winter Soldier, Wolverine",0
4859944_1764254427_1318074_11001_32,1,"Groot, Iron Fist, Luna Snow, Magneto, Rocket Raccoon, Star-Lord",1
4859944_1765013539_1311292_11001_32,0,"Angela, Captain America, Jeff The Land Shark, Phoenix, Psylocke, Rocket Raccoon",0
4859944_1765013539_1311292_11001_32,1,"Emma Frost, Luna Snow, Phoenix, Rocket Raccoon, Star-Lord, Wolverine",1
