player_id,hero_name,Adam Warlock,Angela,Black Panther,Black Widow,Blade,Bruce Banner,Captain America,Cloak & Dagger,Daredevil,Doctor Strange,Emma Frost,Gambit,Groot,Hawkeye,Hela,Human Torch,Invisible Woman,Iron Fist,Iron Man,Jeff The Land Shark,Loki,Luna Snow,Magik,Magneto,Mantis,Mister Fantastic,Moon Knight,Namor,Peni Parker,Phoenix,Psylocke,Rocket Raccoon,Scarlet Witch,Spider-Man,Squirrel Girl,Star-Lord,Storm,The Punisher,The Thing,Thor,Ultron,Venom,Winter Soldier,Wolverine
'   F   ',Doctor Strange,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0
' noah,Gambit,,,,,,0.0,1.0,,,,0.0,,1.0,0.0,,,,,,,,1.0,,,,,,0.0,,,1.0,0.0,,,,,,1.0,,,,,,
''Nix'',Emma Frost,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
''Nix'',Groot,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,
''Nix'',Luna Snow,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,
''Nix'',Magneto,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,
''Nix'',Phoenix,1.0,1.0,,,,,,,,,0.5,0.5,0.3333333333333333,,1.0,,0.4,,,1.0,1.0,,,0.2,0.5,1.0,0.0,,1.0,,0.5,0.75,,,,,,,0.0,1.0,,1.0,0.0,1.0
''Nix'',Psylocke,1.0,0.0,,,,,0.5,,1.0,0.5,0.0,0.5,1.0,1.0,0.0,,0.4,,,,0.0,0.5,0.0,0.4,0.5,,,,,0.6666666666666666,,0.6666666666666666,,0.0,,0.0,,,,,,0.5,0.0,0.0
''Nix'',Rocket Raccoon,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,
''Nix'',Star-Lord,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,
''Nix'',Winter Soldier,,0.0,,,,,0.5,,,1.0,,0.3333333333333333,,,,,0.5,,,,,,,0.0,,,,,,0.5,0.0,0.0,,,,,,,,,,,,
''WANHEDA'',Hela,,0.0,,,,,0.5,,,1.0,1.0,0.3333333333333333,,,,,0.5,,,,1.0,,,0.3333333333333333,1.0,,,,,0.5,,0.5,,,,0.0,,,,,,,,
''WANHEDA'',Magneto,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,
''WANHEDA'',Mantis,,,,,,,,,,,1.0,0.5,0.0,,,,,,,,1.0,,,0.5,,,,,,0.5,,0.0,,,,,,,,,,,,
''WANHEDA'',Phoenix,,0.0,,,,,1.0,,,,1.0,0.8,0.0,,,,0.75,,,,1.0,,,0.8571428571428571,0.5,,1.0,,,,1.0,0.6666666666666666,,,,1.0,,,,1.0,,1.0,,0.6666666666666666
''WANHEDA'',Psylocke,,1.0,,,,,0.0,,,,0.3333333333333333,0.4,0.5,,1.0,,0.4,,,,1.0,,,0.6,,,,,,0.5,,1.0,,,,0.0,,,,,,,0.0,
