player_id	hero_id	hero_name	season	role	timePlayed_value	timePlayedWon_value	matchesPlayed_value	matchesWon_value	matchesWinPct_value	kills_value	deaths_value	assists_value	kdRatio_value	kdaRatio_value	totalHeroDamage_value	totalHeroDamagePerMinute_value	totalHeroHeal_value	totalHeroHealPerMinute_value	totalDamageTaken_value	totalDamageTakenPerMinute_value	lastKills_value	headKills_value	soloKills_value	survivalKills_value	continueKills_value	continueKills3_value	continueKills4_value	continueKills5_value	continueKills6_value	mainAttacks_value	mainAttackHits_value	shieldHits_value	summonerHits_value	chaosHits_value	totalMvp_value	totalSvp_value	featureNormalData1_value	featureNormalData2_value	featureNormalData3_value	featureCriticalRate1CritHits_value	featureCriticalRate1Hits_value	featureCriticalRate2CritHits_value	featureCriticalRate2Hits_value	featureHitRate1UseCount_value	featureHitRate1RealHitHeroCount_value	featureHitRate1ChaosHits_value	featureHitRate1AllyHits_value	featureHitRate1HeroHits_value	featureHitRate1EnemyHits_value	featureHitRate1ShieldHits_value	featureHitRate1SummonerHits_value	featureHitRate2UseCount_value	featureHitRate2RealHitHeroCount_value	featureHitRate2ChaosHits_value	featureHitRate2AllyHits_value	featureHitRate2HeroHits_value	featureHitRate2EnemyHits_value	featureHitRate2ShieldHits_value	featureHitRate2SummonerHits_value	featureSpecialData1Total_value	featureSpecialData1Value_value
VP Sypeh	1058	Gambit	10	strategist	37388.742	24886.702	48.6	33.6	69.1358024691358	917	225	1249	4.075555555555556	9.626666666666667	549211.8107468486	881.0	1859132.3509088755	2983.0	424722.17898118123	682.0	280	0	55	407	82	3	2	1	0	45342732	18368215	1739491	379730	1475038	18	7																									
VP Sypeh	1050	Invisible Woman	10	strategist	14769.481	8782.61	18.3	11.7	63.93442622950819	397	80	521	4.9625	11.475	318549.8735836819	1294.0	779992.801184535	3169.0	373144.4722093642	1516.0	79	0	8	166	25	1	0	0	0	6997613	3839390	397507	23780	197628	7	5	214432.798828125	1684.0																							
VP Sypeh	1016	Loki	10	strategist	7069.45	6664.969	11.8	11.0	93.22033898305084	162	30	240	5.4	13.4	112791.96331596375	957.0	267121.9179198742	2267.0	60229.11204212904	511.0	31	0	7	91	16	0	0	0	0	5185229	2189103	284479	60875	183652	4	0	19867.44854736328	43.0																							
VP Sypeh	1046	Adam Warlock	10	strategist	2216.817	1340.044	3.0	1.6	53.333333333333336	55	20	42	2.75	4.85	47009.48531627655	1272.0	58968.824949502945	1596.0	26850.93768009288	727.0	28	5	10	29	9	1	0	0	0	878	292	48	16	78	0	0	42.0	38.0		47.0	292.0																				
VP Sypeh	1020	Mantis	10	strategist	2171.255	174.548	3.0	0.4	13.333333333333334	34	23	63	1.4782608695652173	4.217391304347826	37405.247725486755	1034.0	67128.18048715591	1855.0	25407.265334367752	702.0	8	3	0	18	3	0	0	0	0	2641	583	250	135	191	0	0	38.0	30.0		65.0	583.0																				
VP Sypeh	1023	Rocket Raccoon	10	strategist	1972.962	1455.095	3.4	2.6	76.47058823529413	19	4	98	4.75	29.25	5891.801052570343	179.0	99761.48914122581	3034.0	8961.699308633804	273.0	6	1	0	15	3	0	0	0	0	25071	3036	10329	491	3165	0	0	19.0	40.0		34.0	285.0																				
VP Sypeh	1053	Emma Frost	10	vanguard	1275.047	870.015	1.4	1.0	71.42857142857143	37	11	13	3.3636363636363638	4.545454545454546	51083.40646027401	2404.0	0.0	0.0	65058.92441570759	3061.0	13	0	0	12	4	1	0	0	0	390530	177578	30492	22392	5049	0	0	51.0	4.0	25.0																						
VP Sypeh	1052	Iron Fist	10	duelist	919.214	360.764	1.4	0.9	64.28571428571429	20	7	0	2.857142857142857	2.857142857142857	31239.997585773468	2039.0	1091.0612487792969	71.0	22396.151387274265	1462.0	12	0	0	12	4	0	0	0	0	416	257	3	7	0	0	0	2614.228759765625	5933.489990234375																							
VP Sypeh	1037	Magneto	10	vanguard	433.098	0.0	0.6	0.0	0.0	10	4	5	2.5	3.75	11531.93919467926	1598.0	0.0	0.0	17253.844498872757	2390.0	3	0	1	5	1	0	0	0	0	238	101	18	2	0	0	0	3.0	1460.0																							
VP Sypeh	1018	Doctor Strange	10	vanguard	203.114	103.251	0.2	0.1	50.0	3	2	0	1.5	1.5	4030.7021265029907	1191.0	0.0	0.0	8021.244586467743	2369.0	1	0	0	3	1	0	0	0	0	477	157	65	0	4	0	0	2421.8519897460938	31.0	0.0																						
VP Sypeh	1035	Venom	10	vanguard	63.209	3.082	0.1	0.0	0.0	0	1	0	0.0	0.0	2603.6129760742188	2471.0	0.0	0.0	4512.937970876694	4284.0	0	0	0	0	0	0	0	0	0	138	60	10	3	0	0	0	2.0	1142.688232421875		9.0	60.0																				
VP Sypeh	1048	Psylocke	10	duelist	59.819	59.819	0.1	0.1	100.0	0	1	0	0.0	0.0	1459.4901218414307	1464.0	0.0	0.0	1480.5048456192017	1485.0	0	0	0	0	0	0	0	0	0	280	101	46	7	4	0	0	0.0			3.0	101.0																			6.0	30.0
VP Sypeh	1047	Jeff The Land Shark	10	strategist	5.405	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	56	45	0	0	0	0	0																									
